###Dungeon1###
##00_03##
#wall1#
a01 a02 a03 a04 a02 a03 a04 a05 a09
b01 x0x x0x e02 g06 b08 x0x x0x b09
c01 x0x x0x f02 a09 c08 x0x x0x c09
b01 x0x x0x x0x c02 d01 x0x x0x d09
c01 b06 b07 e08 c02 g01 g07 g08 g09
d01 f02 f03 f08 f02 f06 f07 f06 a09
g01 g02 g03 g04 g05 g06 g07 g08 g09

#floor1#
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x n07 x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x e03 e04 x0x x0x x0x x0x x0x

#floor2#
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 n08 l11 l12 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13

##01_03##
#door#
x0x x0x x0x x0x x0x x0x b16 b17 x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x

#wall1#
a01 a03 a04 a05 a09 a01 a07 a08 a09
e01 x0x x0x x0x f09 b01 x0x x0x e09
g02 e08 e02 g08 g09 c01 x0x x0x f09
a01 f08 f02 f06 f07 f08 x0x x0x d09
b01 x0x x0x c05 d06 x0x x0x x0x e09
c01 x0x x0x d05 d06 x0x x0x x0x f09
g01 g02 g06 g07 g05 g06 g07 g08 g09

#floor1#
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x n07 x0x x0x x0x x0x
x0x x0x x0x x0x n07 x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x x0x x0x x0x x0x x0x x0x

#floor2#
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l11 l13 n08 l11 l12 l13 l13
l11 l12 l11 l13 n08 l11 l12 l13 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l11 l11 l12 l13

##01_02##
#wall1#
a01 a02 a03 a04 a05 a06 a07 a08 a09
b01 x0x c05 c06 x0x x0x x0x x0x b09
c01 x0x d05 d06 x0x c05 c06 x0x c09
d01 x0x x0x x0x x0x d05 d06 x0x d09
e01 x0x c05 c06 x0x c05 c06 x0x e09
f01 x0x d05 d06 x0x d05 d06 x0x f09
g01 g02 g06 g07 g05 g06 g03 g04 g09

#floor2#
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 l11 l12 l13 l11 l12 l13

##00_02
#wall1#
a01 a02 a03 a02 a03 a04 a05 a06 a09
b01 x0x x0x x0x x0x x0x x0x x0x e09
c01 x0x x0x x0x x0x x0x x0x x0x f09
d01 x0x x0x x0x x0x x0x x0x x0x d09
e01 x0x x0x x0x x0x x0x x0x x0x b09
f01 x0x x0x x0x x0x x0x x0x x0x c09
g01 g02 g06 g07 g05 g06 g07 g08 g09

#floor1#
x0x x0x x0x x0x x0x x0x x0x x0x x0x
x0x x0x x0x h15 h16 h17 h18 x0x x0x
x0x x0x x0x i15 x0x x0x i18 x0x x0x
x0x x0x x0x j15 x0x x0x h18 x0x x0x
l07 x0x x0x k15 k16 k17 k18 x0x x0x
m07 x0x x0x x0x x0x n07 x0x x0x x0x
x0x x0x x0x x0x x0x n07 x0x x0x x0x

#floor2#
l11 l12 l13 l11 l12 l13 l11 l12 l13
l11 l12 l13 k08 k09 k10 k10 l12 l13
l11 l12 l13 l08 l09 l10 l10 l12 l13
l11 l12 l13 k08 k09 k10 k10 l12 l13
l11 l12 l13 l08 l09 l10 l10 l12 l13
l11 l12 l13 l11 l12 n08 l11 l12 l13
l11 l12 l13 l11 l12 n08 l11 l12 l13

###END###
